Date;Country;Description;MediaOutlet;URL;ImageText
"12-31-2021";Chile;"🌍 La activista sueca #GretaThunberg uso sus redes sociales nuevamente para hablar del #cambioclimatico. ""Semana 176 de paro escolar. La crisis climática no se va de vacaciones y nosotros tampoco"". ¿Qué te parece? 🧐👇";Mega;"https://www.instagram.com/p/CYKc-VXvdt7/";"Greta Thunberg: ""La crisis climática no se va de vacaciones y nosotros tampoco meganoticias.cl"
"12-31-2021";Spain;"La borrasca Filomena, los incendios que devoraron el Mediterráneo y la agonía del Mar Menor son solo algunos de los acontecimientos que han marcado 2021, un año señalado por el coronavirus, pero también por los desastres naturales, que han aumentado drásticamente desde 2019.

La Organización Mundial de la Salud (OMS) presentó un informe en el que resaltó que el cambio climático es ""la mayor amenaza a la salud a la que se enfrenta la humanidad"".

Puedes leer el reportaje completo de Laura S. Gómez haciendo #linkinbio👆 

Foto 1: Rodrigo Jiménez / EFE
Foto 2: Cheney Orr / Reuters
Foto 3: Kostas Tsironis / EFE
Foto 4: Rhein Erft-Kreis / AFP
Foto 5: Manuel Lorenzo / EFE

#cambioclimático #clima #desastresnaturales #año2021 #naturaleza";24hTVE;"https://www.instagram.com/p/CYJ9qvjI_fC/";"(empty)"
"12-31-2021";Chile;"El Mandatario detalló que ha sido un año de adversidades por “la pandemia, la crisis económica y social, la sequía, la crisis climática, los incendios forestales"" y le ""deseó el mejor de los éxitos"" a su sucesor, el Presidente electo Gabriel Boric.

La nota completa en el link de la bio.";"La Tercera";"https://www.instagram.com/p/CYJ7qRErSgj/";"POLÍTICA Presidente Piñera envía su último mensaje de fin de año: ""Este 2021 fue de grandes dificultades, pero también de muchos logros"""
"12-31-2021";Chile;"⭕️ El Presidente Sebastián Piñera envió este viernes un mensaje al país por motivo del Año Nuevo 2022, ""deseando los mejores deseos al nuevo presidente y futuro gobierno"".

De acuerdo a lo mencionado por el Mandatario, el país demostró el 2021 ""su alma y el temple de su pueblo, porque con el esfuerzo y el aporte de todos hemos enfrentado la adversidad"" marcada por la pandemia, crisis económica y climática.

""Sin duda, los desafíos han sido monumentales, la pandemia, la crisis económica y social, la sequía, la crisis climática, los incendios forestales y podríamos seguir"", aseveró.

Piñera remarcó que durante el año que termina ""hemos enfrentado la pandemia con voluntad y coraje; los empleos y la economía, que fueron duramente golpeados, se están recuperando con gran fuerza; juntos pusimos en marcha una amplia y robusta Red de Protección Social, que nos ha permitido acompañar y llevar alivio a casi 17 millones de compatriotas; tuvimos 7 elecciones en 14 meses, todas ellas se desarrollaron en forma limpia, participativa y pacífica honrando así nuestra hermosa tradición democrática y republicana"".

""Quiero desear el mejor de los éxitos al nuevo presidente y al futuro gobierno, y desearles a todos ustedes una linda fiesta de Fin de Año junto a sus familias y seres queridos y un año 2022 lleno de oportunidades, alegrías y amor, que les permita desarrollar sus talentos, cumplir sus sueños y tener una vida plena y feliz"", sentenció.";TVN;"https://www.instagram.com/tv/CYJqGGlh_1g/";"O24HORAS HORAS SE TERMINA EL 2021 PRESIDENTE PINERA ENVÍA MENSAJE DE AÃO NUEVO AL PAÍS Y ""DESEANDO LOS MEJORES DESEOS AL NUEVO PRESIDENTE Y FUTURO GOBIERNO"" 24horas.cl"
"12-31-2021";Japan;"【#プレイバック2021】10月５日
スウェーデン王立科学アカデミーは、今年のノーベル物理学賞を、米国プリンストン大上級研究員の真鍋淑郎さんら３人に贈ると発表した。真鍋さんとドイツのクラウス・ハッセルマンさんは、地球の気候をコンピューターで再現する方法を開発し、気候変動（温暖化）予測についての研究分野を世界に先駆けて切り開いた。 

Photo藤原学思 

#真鍋淑郎
#ノーベル物理学賞
#ノーベル賞
#朝日新聞
#asahi
#asahishimbun";"The Asahi Shinbum";"https://www.instagram.com/p/CYJOHEUlNC7/";"(empty)"
"12-31-2021";"United Kingdom";"A group of children in Portugal are using human rights law to force European politicians to tackle climate change.

After seeing the damage caused by wildfires in their home country of Portugal, André Oliviera, his sister Sofia and their friends are determined to make sure that leaders who pledged to reduce harmful emissions are forced to act.

They are suing 33 EU countries for violating their right to “life, privacy and non-discrimination.”

#BBCNews";"BBC News";"https://www.instagram.com/tv/CYI72iVIKSI/";"NASA MISSIO The teens suing 33 countries"
"12-31-2021";Chile;"Durante la tarde de este jueves el Presidente electo, Gabriel Boric, informó que recibió una llamada del Presidente de Estados Unidos, Joe Biden. El futuro mandatario presidencial señaló que se trató de una conversación sobre ""desafíos comunes"".

A través de redes sociales Boric publicó una fotografía manteniendo una conversación con Joe Biden y mencionó que ""además de la alegría compartida por nuestros respectivos triunfos electorales conversamos sobre desafíos comunes"".

Agregó que parte de esos desafíos son el ""comercio justo, crisis climática y fortalecimiento por la democracia"".

Asimismo su publicación fue compartida por la embajada de Estados Unidos en Chile e indicaron que ""juntos somos más"".";TVN;"https://www.instagram.com/p/CYIQIuHtuN-/";"Iam GABRIELBORIC 024HORAS ""CONVERSAMOS SOBRE DESAFÍOS COMUNES"": GABRIEL BORIC RECIBE LLAMADO DE PRESIDENTE DE EE.UU, JOE BIDEN"
"12-31-2021";Chile;"Con esta fotografía conversando por teléfono, el Presidente Electo, Gabriel Boric, informó que recibió una llamada del mandatario estadounidense, Joe Biden. ""Conversamos sobre desafíos comunes como comercio justo, crisis climática y fortalecimiento de la democracia"", escribió.";"Canal 13";"https://www.instagram.com/p/CYIOLjjMF5i/";"T13 Gabriel Boric Font @gabrielboric Acabo de recibir llamada del Presidente de USA @joebiden. Además de la alegría compartida por nuestros respectivos triunfos electorales conversamos sobre desafíos comunes como comercio justo, crisis climática y fortalecimiento de la democracia. Seguiremos conversando. T13.CL"
"12-31-2021";Chile;"Tras la victoria de Gabriel Boric en la segunda vuelta presidencial, varios mandatarios mundiales como el presidente de China, Xi Jinping, y el presidente francés, Emmanuel Macron, enviaron su mensaje de felicitaciones al presidente electo.

A través de su cuenta de Twitter, Boric mencionó haber recibido una llamada del presidente de Estados Unidos, Joe Biden, brindando así su mensaje de apoyo y felicitaciones.

""Además de la alegría compartida por nuestros respectivos triunfos electorales conversamos sobre desafíos comunes como comercio justo, crisis climática y fortalecimiento de la democracia"", señala Boric, finalizando con “seguiremos conversando”.";"CNN Chile";"https://www.instagram.com/p/CYIL9tTt9PI/";"H PRESIDENTE DE EE.UU. CNN FELICITÓ A BORIC CHILE"
"12-30-2021";Chile;"Desde las aguas de uno de los lugares más inhóspitos del planeta, en el llamado ""fin del mundo"", un grupo de científicos chilenos rastrea desde virus microscópicos hasta enormes ballenas para colaborar con el armado del gran rompecabezas sobre elcambio climático.

A bordo del buque oceanográfico de la Armada de Chile ""Cabo de Hornos"", 19 científicos exploran por nueve días los confines del continente americano, en la región chilena de Magallanes, para investigar la presencia de organismos nocivos y el impacto del cambio climático.";"Biobio.cl";"https://www.instagram.com/p/CYHnJxlvWDc/";"(empty)"
"12-30-2021";"United States";"This year felt like one major disaster followed on the heels of another, with heat waves, hurricanes, fires, floods, and freezing weather all contributing to a deadly year — and the death toll has been alarmingly undercounted. Concerns over resources, particularly water, are mounting as drought in the West continues. Action from the government to address climate change remains stalled and limited. We looked back at the year in climate change and the disasters that are getting worse and more frequent as our world is altered by climate-polluting fossil fuels. Tap the link in our bio for more. (📸: Angelos Tzortzinis / AFP via Getty Images; Brandon Bell / Getty Images; Charly Triballeau / AFP via Getty Images; Picture Alliance / dpa/picture alliance via Getty Images; Anadolu Agency via Getty Images)";"Buzzfeed US";"https://www.instagram.com/p/CYHkPjsphTn/";"(empty)"
"12-30-2021";"United Kingdom";"Misinformation about the Covid pandemic and climate change is slowing an effective response to these global emergencies.

The BBC's Shayan Sardarizadeh and Kayleen Devlin explain the misinformation trends they have seen in 2021 and the effects they have had on lives around the world.

#BBCNews";"BBC News";"https://www.instagram.com/tv/CYG1m7Vofm6/";"Covid and climate: Misinformation trends in2021"
